Country	Track	Layout	Year	Grade	Length (KM)	Altitude (Meter)	Number of turns	DLC	Default date
Germany	Hockenheimring	Hockenheim STT	2020	Grade 3	2.638	102	11	Adrenaline 2	2020-8-31
Germany	Hockenheimring	Hockenheim Short B	2020	Ungraded/Alternate	2.604	102	13	Hockenheim Pack	2020-8-31
Ecuador	Ibarra	Autódromo Yahuarcocha	2020	Grade 4	4.307	2190	18		2020-3-17
Ecuador	Ibarra	Autódromo Yahuarcocha Reverse	2020	Grade 4	4.307	2190	18		2020-3-17
Ecuador	Ibarra	Autódromo Yahuarcocha STT	2020	Grade 4	4.307	2190	18	Adrenaline 2	2020-10-17
Italy	Imola	Imola	2020	Grade 1	4.909	47.188	19		2020-5-3
Italy	Imola	Imola Historic 2001	2001	Historic	4.933	47.188	21		2001-4-15
Italy	Imola	Imola Historic 1972	1972	Historic	5.018	47.188	14		1972-5-1
Italy	Imola	Imola Historic 1988	1988	Historic	5.040	47.188	21		1988-5-1
USA	Indianapolis	Indianapolis Motor Speedway Oval	2022	Grade 1	4.023	220	4	Racin´ USA 3	2022-5-29
USA	Indianapolis	Indianapolis Motor Speedway Road Course	2022	Grade 1	3.925	220	14	Racin´ USA 3	2022-5-29
Brazil	Interlagos	Interlagos GP	2020	Grade 1	4.295	750.188	15		2021-11-12
Brazil	Interlagos	Interlagos Kart One	2020	Kart	1.123	750.188	19		2020-11-1
Brazil	Interlagos	Interlagos Kart Two	2020	Kart	1.120	750.188	15		2020-7-1
Brazil	Interlagos	Interlagos Kart Three	2020	Kart	0.699	750.188	9		2020-11-1
Brazil	Interlagos	Interlagos 1991	1991	Historic	4.325	750.188	17	Historical Tracks 1	1991-3-24
Brazil	Interlagos	Interlagos 1993	1993	Historic	4.325	750.188	17	Historical Tracks 1	1993-2-26
Brazil	Interlagos	Interlagos Historic 1976	1976	Historic	7.927	750.188	17		1976-2-26
Brazil	Interlagos	Interlagos Historic 1978 Outer	1976	Historic Alternate	3.236	750.188	6		1976-2-26
Brazil	Interlagos	Interlagos Stock Car Brasil	2020	Grade 1	4.295	750.188	15		2020-8-23
Brazil	Jacarepaguá	Jacarepaguá Historic 2005	2005	Historic	4.905	30	13		2005-4-9
Brazil	Jacarepaguá	Jacarepaguá Historic 2005 Oval	2005	Historic	3.000	30	4		2005-4-9
Brazil	Jacarepaguá	Jacarepaguá Historic 2012 SCB	2012	Historic	3.307	30	8		2012-4-9
Brazil	Jacarepaguá	Jacarepaguá Historic 2012 Short	2012	Historic	3.047	30	7		2012-4-9
Brazil	Jacarepaguá	Jacarepaguá Historic 1988	1988	Historic	5.003	30	11		1988-4-3
Spain	Jerez	Jerez Historic 1988	1988	Grade 1	4.218	38	16	Historical Tracks 1	1988-10-2
Spain	Jerez	Jerez Moto	2020	Grade 1	4.427	38	15		2020-4-26
Spain	Jerez	Jerez Chicane	2020	Ungraded/Alternate	4.423	38	13		2020-4-26
Japan	Kansai (Suzuka)	Kansai Classic	2020	Historic	5.821	47.188	19		2020-10-5
Japan	Kansai (Suzuka)	Kansai East	2020	Ungraded/Alternate	2.243	47.188	10		2020-10-5
Japan	Kansai (Suzuka)	Kansai GP	2020	Grade 1	5.810	47.188	19		2020-10-5
Japan	Kansai (Suzuka)	Kansai West	2020	Ungraded/Alternate	3.466	47.188	11		2020-10-5
South Africa	Kyalami	Kyalami	2020	Grade 2	4.529	1532	15		2020-4-15
South Africa	Kyalami	Kyalami Historic 1976	1976	Historic	4.048	1532	9		1976-3-5
USA	Laguna Seca	Laguna Seca 2020	2020	Grade 2	3.602	220	11	Racin´ USA 1	2020-8-30
France	La Sarthe	Le Mans 24h	2023	Grade 2	13.629	52	38	24 Heures du Mans	2023-6-10
France	La Sarthe	Le Mans 24h 2005	2005	Grade 2	13.650			Historical Tracks 3	
France	La Sarthe	Le Mans Circuit Bugatti	2022	Grade 2	4.185	52	14	24 Heures du Mans	2022-6-11
Brazil	Londrina	Londrina Short	2020	Grade 3	3.020	566	10		2020-5-17
Brazil	Londrina	Londrina Kart One	2020	Kart	1.002	566	10		2020-4-7
Brazil	Londrina	Londrina Kart Two	2020	Kart	0.864	566	11		2020-4-7
Brazil	Londrina	LondrinaKart3	2020	Kart	0.644	566	6		2020-4-7
Brazil	Londrina	Londrina Long	2020	Ungraded/Alternate	3.140	566	10		2020-5-17
USA	Long Beach	Long Beach	2020	Grade 3	3.167	2	11	Racin´ USA 1	2020-9-15
USA	Long Beach	Long Beach STT	2020	Grade 3	3.167	2	11	Adrenaline 2	2020-9-15
Canada	Montreal	Montréal Historic 1988	1988	Historic	4.430	13	16		1988-6-12
Canada	Montreal	Montreal Historic 1991	1991	Historic	4.430	13	16	Historical Tracks 1	1991-6-12
Canada	Montreal	Montréal	2020	Grade 1	4.361	13	14		2020-6-9
Italy	Monza	Monza Historic 1971	1971	Historic	5.750	180	7	Monza Pack	1971-9-5
Italy	Monza	Monza Historic 1971 10k	1971	Historic Alternate	10.100	180	16	Monza Pack	1971-4-25
